times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_4900,0.164857,0.0575476,0.0228352,0.00613962,0.00406127,0.0695648,0.450324,,times_4900,0.848148,0.833333,0.914815,0.925926,0.892593,0.811111,0.844444
times_4950,0.162727,0.0566976,0.0224982,0.00605842,0.00400584,0.0670019,0.450249,,times_4950,0.848148,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5000,0.160638,0.0558685,0.0221701,0.00597917,0.00395179,0.0645377,0.450175,,times_5000,0.848148,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5050,0.158591,0.0550596,0.0218505,0.00590182,0.00389905,0.0621674,0.450104,,times_5050,0.848148,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5100,0.156583,0.0542704,0.0215392,0.0058263,0.0038476,0.0598858,0.450034,,times_5100,0.848148,0.833333,0.918519,0.925926,0.892593,0.818519,0.844444
times_5150,0.154613,0.0535001,0.0212358,0.00575254,0.00379737,0.0576878,0.449966,,times_5150,0.848148,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5200,0.152682,0.0527482,0.02094,0.0056805,0.00374834,0.055569,0.449899,,times_5200,0.848148,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5250,0.150787,0.0520142,0.0206516,0.00561011,0.00370045,0.0535277,0.449834,,times_5250,0.851852,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5300,0.148928,0.0512974,0.0203703,0.00554132,0.00365368,0.0515648,0.44977,,times_5300,0.851852,0.833333,0.918519,0.925926,0.892593,0.811111,0.844444
times_5350,0.147103,0.0505973,0.0200959,0.00547407,0.00360798,0.0496819,0.449708,,times_5350,0.851852,0.833333,0.918519,0.925926,0.892593,0.811111,0.844444
times_5400,0.145313,0.0499134,0.0198282,0.00540831,0.00356333,0.0478781,0.449647,,times_5400,0.855556,0.833333,0.918519,0.925926,0.892593,0.811111,0.844444
times_5450,0.143556,0.0492452,0.0195668,0.00534401,0.00351968,0.0461501,0.449587,,times_5450,0.855556,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5500,0.141832,0.0485923,0.0193116,0.00528111,0.003477,0.0444942,0.449529,,times_5500,0.855556,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5550,0.140139,0.0479541,0.0190624,0.00521958,0.00343526,0.042906,0.449472,,times_5550,0.855556,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5600,0.138477,0.0473302,0.018819,0.00515936,0.00339444,0.0413821,0.449416,,times_5600,0.859259,0.833333,0.918519,0.925926,0.892593,0.814815,0.844444
times_5650,0.136845,0.0467202,0.0185812,0.00510041,0.0033545,0.039919,0.449362,,times_5650,0.859259,0.833333,0.918519,0.925926,0.892593,0.818519,0.844444
times_5700,0.135243,0.0461237,0.0183488,0.00504271,0.00331542,0.0385135,0.449308,,times_5700,0.859259,0.833333,0.918519,0.925926,0.892593,0.818519,0.844444
times_5750,0.133669,0.0455402,0.0181217,0.00498622,0.00327717,0.0371627,0.449256,,times_5750,0.859259,0.833333,0.918519,0.925926,0.892593,0.822222,0.844444
times_5800,0.132124,0.0449694,0.0178996,0.00493088,0.00323973,0.0358641,0.449205,,times_5800,0.859259,0.833333,0.918519,0.925926,0.892593,0.825926,0.844444
times_5850,0.130606,0.044411,0.0176824,0.00487668,0.00320306,0.0346152,0.449154,,times_5850,0.859259,0.833333,0.918519,0.925926,0.892593,0.825926,0.844444
times_5900,0.129115,0.0438644,0.01747,0.00482358,0.00316716,0.0334137,0.449105,,times_5900,0.859259,0.833333,0.918519,0.925926,0.892593,0.825926,0.844444
times_5950,0.12765,0.0433295,0.0172622,0.00477155,0.00313199,0.0322577,0.449057,,times_5950,0.859259,0.833333,0.918519,0.925926,0.892593,0.825926,0.844444
times_6000,0.126211,0.0428058,0.0170589,0.00472055,0.00309754,0.0311451,0.44901,,times_6000,0.859259,0.833333,0.918519,0.925926,0.892593,0.825926,0.844444
times_6050,0.124797,0.042293,0.0168599,0.00467056,0.00306378,0.0300743,0.448963,,times_6050,0.859259,0.833333,0.918519,0.925926,0.892593,0.825926,0.844444
times_6100,0.123407,0.0417909,0.0166651,0.00462154,0.00303069,0.0290433,0.448918,,times_6100,0.859259,0.833333,0.918519,0.925926,0.892593,0.833333,0.844444
times_6150,0.122041,0.041299,0.0164744,0.00457348,0.00299825,0.0280506,0.448874,,times_6150,0.862963,0.833333,0.918519,0.925926,0.892593,0.833333,0.844444
times_6200,0.120699,0.0408172,0.0162876,0.00452634,0.00296646,0.0270947,0.44883,,times_6200,0.862963,0.833333,0.918519,0.925926,0.892593,0.833333,0.844444
times_6250,0.11938,0.0403451,0.0161047,0.0044801,0.00293528,0.0261739,0.448787,,times_6250,0.866667,0.833333,0.918519,0.92963,0.892593,0.833333,0.844444
